objectType,title,category
CFVA,Business Configuration Framework SVA Adap. Cnt. (Obsolete),exotic
CFVR,Business Configuration Framework Scoping Val. Ar. (Obsolete),exotic
CGRC,CDM Group (LREP cross-client content),exotic
CGRD,CDM Group (LREP client-dependent content),exotic
CGRT,CDM Group (LREP client-dependent content - customizing req.),exotic
CHAR,Object characteristic,exotic
CHDO,Change Document Object,exotic
CHKC,Check category,exotic
CHKE,Check Exemptions,exotic
CHKO,Check,exotic
CHKV,Check Variant,minor
CINS,Correction Instruction,exotic
CLAS,Class (ABAP Objects),major
CMBR,BPC: Consolidation business rule for model,exotic
CMBT,BPC: Consolidation task sequence for model,exotic
CMHC,Cloud Management Health Check,exotic
CMOD,Customer enhancement projects,exotic
CMPA,Client Multiplexer Scenario Task List Parameters,exotic
CMPT,Code Composer Template,exotic
CMSQ,Client Multiplexer Scenario Sequence,exotic
CMTM,Cloud Management Tenant Multiplexer Trigger,exotic
CNAR,Business Configuration Framework Activity Semantic Obj,exotic
CNBB,Business Configuration Framework Building Block Semantic Obj,exotic
CNCE,Business Configuration Framework Configuration Semantic Obj,exotic
CNDD,Business Configuration Framework Dataset Semantic Key,exotic
CNIU,Business Configuration Framework Issue Semantic Obj,exotic
CNPA,DMC: Definition of a control parameter,exotic
CNPC,DMC: Migration Settings of a Control Parameter,exotic
CNPK,Business Configuration Framework Soln. Package Semantic Key,exotic
CNRR,Business Configuration Framework Record Semantic Key,exotic
CNSI,Business Configuration Framework Scope Item Semantic Key,exotic
CNSO,Business Configuration Framework Scope Option Semantic Key,exotic
CNSU,Business Configuration Framework SSCUI Semantic Key,exotic
CNTL,SEM-SRM Contacts: Logical InfoObject (SRM:CNT),exotic
CNTN,DMC: Definition of a Container (Sender/Recipient),exotic
CNTP,SEM-SRM Contacts: Physical InfoObject (SRM_CNT),exotic
CNTX,Context,exotic
CNVN,Conversion Tools: Notification Events,exotic
CNVR,Business Configuration Framework SVA Record Semantic Key,exotic
COAC,ESF: Action,exotic
COAS,ESF: Aspect,exotic
COBB,Controlling CO: Calculation base for overhead - detail,exotic
COBJ,DMC: Definition of a Conversion Object,exotic
COBO,ESF: Business Object,exotic
COC1,CO: Cost Centers,exotic
COC2,CO: Activity Types,exotic
COC3,CO: Statistical Key Figures,exotic
COCF,ESF: Configuration,exotic
COCO,Control Composite,exotic
COE1,Controlling CO: Credit for surcharges - Overview,exotic
COE2,Controlling CO: Credit for surcharges - detail,exotic
COF1,CO: Cost Elements (Dependent on Chart of Accounts),exotic
COF2,Cost elements (controlling area specific data),exotic
COK1,Controlling CO: Overview of surcharge conditions,exotic
COK2,Controlling CO: Additional data for surcharge conditions,exotic
COKS,Controlling CO: costing sheet for overhead,exotic
COPR,CompositeProvider,exotic
CORL,ESF: Relation,exotic
COSM,ESF: Service Modules,exotic
COVG,Controlling CO: Transaction groups,exotic
CPKM,Meta data of a transport-based correction instruction,exotic
CRME,CRM Enterpise Search,exotic
CRMF,Folder for CRM,exotic
CRML,Logical Information Object for CRM Document Templates,exotic
CRMP,Physical Information Object for CRM Document Templates,exotic
